datatype,source_file,source_directory
String,data_dictionary.xlsx [LSFS - Health Conditions].csv,RADx-DHT
String,data_dictionary.xlsx [LSFS - Risk_Factor].csv,RADx-DHT
String,data_dictionary.xlsx [Wearable Model Features].csv,RADx-DHT
string,data_dictionary_test.xlsx [Test].csv,RADx-DHT
string,data_dictionary_user.xlsx [User].csv,RADx-DHT
string,data_dictionary_vaccination.xlsx [Vaccination].csv,RADx-DHT
String,data_dictionary_vaccination.xlsx [Vaccination].csv,RADx-DHT
String,GoogleFitSamples_datadictionary.csv,RADx-DHT
String,NIH_Consent_Demographic_Data_Dictionary_MIT_Sep09_origcopy.xlsx [Sheet1].csv,RADx-DHT
String,NIH_Daily_Wellness_Survey_Data_Dictionary_MIT_Sep09_origcopy.xlsx [Sheet1].csv,RADx-DHT
string,NWSS-Data-Dictionary_v2_0_3_20210621.xlsx [Metadata].csv,Unknown Source
string,survey_data_dictionary_origcopy.csv - Baseline Survey.csv,RADx-DHT
string,survey_data_dictionary_origcopy.csv - Demographics Survey.csv,RADx-DHT
string,survey_data_dictionary_origcopy.csv - Hospitalization Survey.csv,RADx-DHT
string,survey_data_dictionary_origcopy.csv - Monthly Vaccine Follow Up Survey.csv,RADx-DHT
string,survey_data_dictionary_origcopy.csv - Monthly Vaccine Survey.csv,RADx-DHT
string,survey_data_dictionary_origcopy.csv - Thanksgiving Plans.csv,RADx-DHT
string,survey_data_dictionary_origcopy.csv - Vaccine Survey.csv,RADx-DHT
String,SurveyQuestionResults_datadictionary.csv,RADx-DHT
String,SurveyResults_datadictionary.csv,RADx-DHT
TEXT,activity__garmin_activities_origcopy.csv,RADx-DHT
Text,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT
text,Demographics_and_Clinical.csv,RADx-DHT
Text,medications_data_dictionary_origcopy.csv,RADx-DHT
TEXT,survey__baseline_survey_origcopy.csv,RADx-DHT
