Channel,variable_name,description,description,datatype,source_file,source_directory,Digest (variable_name|source_file|source_directory)
Sleep,sleep__loop_main_asleep_frac,"Fraction of minutes during the main sleep spent ""asleep""",The number of minutes with a sleep level of 'asleep' divided by the total sleep period minutes,double,data_dictionary.xlsx [FBML Day Level].csv,RADx-DHT,beb148198f5a464eba504eb85fcdaa625bc5307cabcbf78975842b26f947b91aadcac42fe13553e4be5d6dc2c6bc8bc742479ec78ef906e9ee3be1650ca847a2
Sleep,sleep__loop_main_awake_frac,"Fraction of minutes during the main sleep spent ""awake""",The number of minutes with a sleep level of 'restless' or 'awake' divided by the total sleep period minutes,double,data_dictionary.xlsx [FBML Day Level].csv,RADx-DHT,1af971a8b55227f63acbd35fe8b23e6c8b128e3c28696ee3db386f8305e701059a9912fcad7718aa2f04a2df8f5383b959da572465525c9ff713073b50cd575e
Sleep,sleep__loop_main_really_awake_frac,"Fraction of minutes during the main sleep spent ""really awake""",The number of minutes with a sleep level of 'awake' divided by the total sleep period minutes,double,data_dictionary.xlsx [FBML Day Level].csv,RADx-DHT,85b4ef1928d23d8a86799be580dc34c1ed5cdc7d898f861d7dbcee4dbf6939c54bd68386cccfefddc45e7a16ffcba82f73c1b83a5234206acbda699dacb1c72d
Heart,heart__resting_heart_rate,Daily resting heart rate,https://dev.fitbit.com/build/reference/web-api/heart-rate/,double,data_dictionary.xlsx [FBML Day Level].csv,RADx-DHT,f3afa80b752b6e65414246ee158151a0696146e8e3e216f13858e8a19bd742d76cf46b294fe3754e8ec4a933146f7decbb5b6b5473e8ed701c2397e26fef9adc
Heart,heart__quant_05th,"5th percentile HR in a day, units = beats per minute",The 5th quantile of HR data,double,data_dictionary.xlsx [FBML Day Level].csv,RADx-DHT,848b3903d5eb6cf9eaa4d9d97ef9794952b21e63b2df17b7dff47349c97c9ca27006d14de529216db61065f59b8b1c5428f2f769b0b0fa9ad37ca7ae5e3b9cba
Heart,heart__quant_25th,"25th percentile HR in a day, units = beats per minute",The 25th quantile of HR data,double,data_dictionary.xlsx [FBML Day Level].csv,RADx-DHT,14c155e60492b6007fb5ce39e7357682d385551701b6b8b75e288bc8d7fc9697329f8575758655ee53100636b0aee0b2dd952a2a622bbdb705e9b0ab525c0ce5
Heart,heart__quant_75th,"75th percentile HR in a day, units = beats per minute",The 75th quantile of HR data,double,data_dictionary.xlsx [FBML Day Level].csv,RADx-DHT,4e1bc6360e34832686c8e28f02933a4938bebfac0f7d6234ad3a57643e7ea53654344dadd8b03669d30c1eefe93d2fce92481538a1eec8fe074a3102e518ea0c
Heart,heart__quant_95th,"95th percentile HR in a day, units = beats per minute",The 95th quantile of HR data,double,data_dictionary.xlsx [FBML Day Level].csv,RADx-DHT,77c29d636846dbc8332063422344547e1d3191cab14e29055150506ddcaa0642d250f7cc6db9c15d616165df32df336f2ae686d5fc98420a9bf35aef89c5a87a
Heart,heart__95th_to_resting_ratio,Ratio of 95th percentile HR in a day to the day's resting HR,The 95th quantile of HR data divided by the daily resting heart rate,double,data_dictionary.xlsx [FBML Day Level].csv,RADx-DHT,a56dfd121dcc9e99f302d14bc8490387e8cc11bfaee4ff7267d1d3b9bf0d27616bbfed5daba3338d4d7315786f632a9a06243f471b2dfb5559aea3e2885c8b2a
Heart,heart__autocorr1min,Correlation between each HR value and the value measured 1 minutes before it,Pearson's correlation between HR values and HR values lagged 1 minute,double,data_dictionary.xlsx [FBML Day Level].csv,RADx-DHT,ccd6679f932cdac3ea29ae783231f3537327e5acd3f27de96d0b7b92dc850ca2ea7f8130a54d80e3054d2f1543d042cf63d5b8c1f0db57e881c3218b9bc5334f
Heart,heart__autocorr2min,Correlation between each HR value and the value measured 2 minutes before it,Pearson's correlation between HR values and HR values lagged 2 minutes,double,data_dictionary.xlsx [FBML Day Level].csv,RADx-DHT,b49a86d5117c4b8112373ed38f19933bad0dfdd7b5a15b28f4e902ab418e70384533ed51431926e034cc5d203b3d2be916d0b42e321a9434cdc6f06d93f45d8e
Heart,heart__autocorr3min,Correlation between each HR value and the value measured 3 minutes before it,Pearson's correlation between HR values and HR values lagged 3 minutes,double,data_dictionary.xlsx [FBML Day Level].csv,RADx-DHT,64f34cb5df0eeea54a142588a79453f3adec0c0b156aabfc510036b7401c60ca78898d029732fe3b7d8304c9f828a0bf4031434758d2cadd53be01a34bb50ec9
Heart,heart__autocorr10min,Correlation between each HR value and the value measured 10 minutes before it,Pearson's correlation between HR values and HR values lagged 10 minutes,double,data_dictionary.xlsx [FBML Day Level].csv,RADx-DHT,8655c7d6675457c0441e52976014a010d86b70c150c031711fa8e7318f484264a90470538998055ad04a470baad631a85b6c63366daf97c37207d4fa71252ad7
Heart,heart__autocorr60min,Correlation between each HR value and the value measured 60 minutes before it,Pearson's correlation between HR values and HR values lagged 60 minutes,double,data_dictionary.xlsx [FBML Day Level].csv,RADx-DHT,d8a356507fa81620a98856fe5851ae6e1e6df439afc8a09392c249b3faaeabe937f8fa85ed455e8788de4ada66ae425d5e46e37157104480f17305dbc91c7031
Heart,heart__high_150_perc_resting_frac,Percent of minutes with HR larger than 1.5x resting HR for the day,Count of the number of heart rate values greater than 1.5 times the daily resting heart rate divided by the total number of non-missing heart values,double,data_dictionary.xlsx [FBML Day Level].csv,RADx-DHT,2dfc135bcb137bdf24c33d99a497d1a1b6f70e0d4b2c4dcaaec249e6f1aca2e7b69668eb82d2114b01f2a3e435c07064c3cf6777f071ff31230812e28c543ea9
Heart,heart__high_200_perc_resting_frac,Percent of minutes with HR larger than 2.0x resting HR for the day,Count of the number of heart rate values greater than 2.0 times the daily resting heart rate divided by the total number of non-missing heart values,double,data_dictionary.xlsx [FBML Day Level].csv,RADx-DHT,1622374adada3c2fc57584f72a793a577f2fd0a81972a28835355eac4ab1387e13c0cdc127731971b3bd2ad42dd3dcdfade4fae09f722f5a664e493e181d8eb8
Heart,heart__mean,Mean HR value,Mean of that day's minute-level HR values,double,data_dictionary.xlsx [FBML Day Level].csv,RADx-DHT,45590f536f4fe46142c47cb7829526708ee7c044cbf562d4ead8c47539862ca6391a1f90bf579ac8924c9e74201ebf5e310e575056a5c0a389ed9efee26e6b2e
Heart,heart__median,Median HR value,Median of that day's minute-level HR values,double,data_dictionary.xlsx [FBML Day Level].csv,RADx-DHT,9369cf0f4512e749eeecf536e5134b6bce33dbae6987b32507bd8053a287dd2662d819dcbe780a1e9c6974b6feb14a4a1c3daf31f4b9cdc35403a0a017cc8cb4
Heart,heart__std,HR standard deviation,Standard deviation of that day's minute-level HR values,double,data_dictionary.xlsx [FBML Day Level].csv,RADx-DHT,a423babe882d8350fefefa396f1cc7f0643a351d32021e02aac646001bcc7c7711d73cdf64c1b80d430dbd9f2c07c5ba46dcb3ecc304bfa7370871120c93f1b9
Heart,heart__min,Minimum HR value,Minimum of that day's minute-level HR values,double,data_dictionary.xlsx [FBML Day Level].csv,RADx-DHT,3a844ec740b8322bc8100e3810ace4a569810d6637de5dbc0f83e8a5d966be65792d7a539bdbeff75d7d4b2a1a2f4e3e79984192f0ca05170334722d7a5919ad
Heart,heart__max,Maximum HR value,Maximum of that day's minute-level HR values,double,data_dictionary.xlsx [FBML Day Level].csv,RADx-DHT,5f7d950ad5dbffcbf2d57d93a08e54568d83969029eac92486194d8852f0a62579c51a5ac7803bf46bbe3844bbfd9043964c0a4174b9b2f0aa29207dff2e1bfe
Heart,heart__peaks,Number of relative HR peaks in a day,The number of HR peaks times 1440 divided by the number of non-missing HR values. Where a peak is defined as a relative maximum value within a the HR series after it has been smoothed by taking a rolling 30 minute average.,double,data_dictionary.xlsx [FBML Day Level].csv,RADx-DHT,2d3cc88fd67eb6c6106a7d4dc8fb76fb7245b17aaa3fef9a25fbcfe142b1cc99825f50d455271670fc6c6eec108ef52d4daa92dffc6dc2f42d9b37c62e9b8d43
Heart,heart__peaks_gt_125_perc_median,Number of peaks larger than 1.25x the median HR for the day,The number of peaks greater than 1.25 times the median HR times 1440 divided by the number of non-missing HR values,double,data_dictionary.xlsx [FBML Day Level].csv,RADx-DHT,3ae179ca0e60660ae98678c855d565ab2cbd90f309f03174345090ac818e3bf37c3d476849b8a489a78d40c83377b9cf12df36500250904e2ceef39a7dbe55f5
Heart,heart__peaks_gt_150_perc_median,Number of peaks larger than 1.5x the median HR for the day,The number of peaks greater than 1.5 times the median HR times 1440 divided by the number of non-missing HR values,double,data_dictionary.xlsx [FBML Day Level].csv,RADx-DHT,573513035e482deedae1f9855579bc5d5f5d9a61214f7847f316720068b2996b5e423a92d5c4b98733533105d236b69accce1ee0bcf457cc859cfe557832c2d9
